,iid,gender,pid,match,int_corr,age_o,race_o,dec_o,age,race,from,goal,career,dining,gaming,clubbing,reading,shopping,Sports,Art,Musique,TV_Cinema,cosine_similarity
0,305,0,310.0,0,0.19,25.0,2.0,0,29.0,4.0,philippines,1.0,teaching/education,10.0,2.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,0.902
1,503,1,496.0,0,0.24,23.0,4.0,0,25.0,2.0,California,5.0,Scientist,8.0,5.0,2.0,6.0,7.0,5.5,8.0,9.0,5.0,0.935
2,288,1,263.0,1,0.18,26.0,1.0,1,27.0,2.0,"Washington, DC",1.0,professor,8.0,4.0,4.0,9.0,2.0,4.5,5.0,6.0,5.0,0.879
3,380,0,406.0,1,0.13,27.0,4.0,1,33.0,1.0,Chicago,2.0,film directing,8.0,1.0,5.0,5.0,9.0,7.5,5.0,9.0,8.0,0.895
4,52,1,24.0,0,-0.01,27.0,2.0,0,21.0,2.0,Brooklyn,1.0,Intellectual Property Attorney,6.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,6.0,0.862
5,354,0,361.0,0,0.26,34.0,2.0,0,22.0,2.0,Manhattan,1.0,Clinical Psychology,10.0,1.0,1.0,8.0,10.0,8.0,8.0,10.0,10.0,0.882
6,197,0,228.0,0,0.63,24.0,4.0,0,24.0,6.0,Berkeley,1.0,Development work,10.0,7.0,5.0,9.0,7.0,4.0,8.0,9.0,6.0,0.933
7,105,1,86.0,1,-0.06,22.0,2.0,1,25.0,1.0,Texas,2.0,Law,8.0,4.0,7.0,8.0,5.0,5.5,5.0,5.5,7.0,0.867
8,62,0,70.0,0,0.37,26.0,2.0,0,26.0,3.0,"Albuquerque, NM",2.0,attorney,8.0,7.0,7.0,7.0,9.0,7.0,6.0,8.0,5.0,0.964
9,472,0,482.0,1,0.36,30.0,2.0,1,25.0,3.0,California,2.0,Urban Planner,9.0,1.0,7.0,8.0,5.0,9.0,9.0,10.0,6.0,0.936
10,156,0,163.0,1,0.21,26.0,2.0,1,30.0,1.0,"Atlanta, GA",2.0,Marketing and Media,10.0,7.0,9.0,10.0,7.0,8.0,10.0,10.0,10.0,0.867
11,435,0,445.0,0,0.15,30.0,2.0,0,22.0,1.0,New Jersey,1.0,Lawyer,9.0,2.0,9.0,9.0,10.0,5.5,8.0,9.0,5.0,0.941
